sigma_total,,sigma_HI,,sigma_H2,,v_circ_kms,,sigma_sfr,,vdisp,
R,smd-f,r_kpc,sigma_HI,r_kpc,sigma_H2,R,v,r_kpc,sigma_sfr,r,v disp
9.00E-02,2.28E+04,0.277147488,4.331396158,0.277147488,397.0426943,0,0,0.277597403,0.217374854,0.922818792,12.47798742
1.90E-01,9.99E+03,0.862236629,4.693660011,0.831442464,282.2158462,0.09,201.68,0.678571429,0.170827639,1.258389262,11.87421384
3.00E-01,5.16E+03,1.416531605,4.600348126,1.416531605,157.6429011,0.19,232.77,1.017857143,0.123886292,1.677852349,11.97484277
4.20E-01,3.14E+03,2.001620746,4.331396158,1.97082658,81.26129161,0.3,230.6,1.26461039,0.089843854,2.055369128,10.70020964
5.60E-01,2.11E+03,2.586709887,4.078168035,2.555915721,48.2102668,0.42,221.22,1.511363636,0.06647746,2.432885906,10.26415094
7.00E-01,1.65E+03,3.141004862,3.917628549,3.141004862,34.26760253,0.56,208.89,1.758116883,0.048210267,2.768456376,10.49895178
8.60E-01,1.39E+03,3.726094003,4.245286227,3.726094003,29.18208238,0.7,197.11,2.066558442,0.034962675,3.187919463,11.03563941
1.04E+00,1.19E+03,4.280388979,4.600348126,4.249594814,27.47599878,0.86,189.74,2.375,0.025869659,3.523489933,10.86792453
1.23E+00,1.05E+03,4.834683955,5.086222431,4.834683955,27.47599878,1.04,185.79,2.806818182,0.021163203,3.94295302,11.10272537
1.45E+00,9.29E+02,5.419773096,5.402044278,5.419773096,25.86965862,1.23,182.6,3.331168831,0.018022455,4.320469799,11.16981132
1.68E+00,8.39E+02,6.004862237,5.623413252,5.974068071,23.87299883,1.45,180.59,3.886363636,0.018760993,4.697986577,10.93501048
1.94E+00,7.59E+02,6.589951378,5.972591209,6.559157212,21.59247004,1.68,179.86,4.410714286,0.019529795,5.033557047,10.49895178
2.23E+00,6.91E+02,7.144246353,6.343450882,7.113452188,20.74246974,1.94,180.13,4.996753247,0.019529795,5.453020134,10.23060797
2.54E+00,6.36E+02,7.698541329,6.737338565,7.698541329,20.33010094,2.23,180.52,5.551948052,0.019529795,5.830536913,9.761006289
2.89E+00,5.93E+02,8.28363047,6.873996431,8.252836305,19.14153422,2.54,181.33,6.076298701,0.019529795,6.208053691,9.626834382
3.27E+00,5.57E+02,8.837925446,6.873996431,8.80713128,16.96880124,2.89,183.09,6.662337662,0.01992593,6.543624161,9.492662474
3.69E+00,5.14E+02,9.423014587,7.013426219,9.423014587,14.16324575,3.27,187.84,7.186688312,0.02074247,6.963087248,9.224318658
4.15E+00,4.60E+02,10.00810373,7.013426219,10.00810373,11.58653261,3.69,196.41,7.772727273,0.02159247,7.340604027,9.056603774
4.65E+00,4.11E+02,10.5623987,6.873996431,10.5623987,9.105469114,4.15,203.97,8.297077922,0.022933224,7.718120805,9.593291405
5.21E+00,3.76E+02,11.70178282,6.737338565,11.11669368,7.013426219,4.65,206.6,8.852272727,0.022933224,8.095637584,8.821802935
5.82E+00,3.42E+02,12.28687196,6.737338565,11.70178282,5.623413252,5.21,210.05,9.407467532,0.021163203,8.473154362,8.150943396
6.49E+00,2.96E+02,12.84116694,6.472119265,12.2560778,4.693660011,5.82,218.64,9.900974026,0.018022455,8.89261745,8.117400419
7.23E+00,2.43E+02,13.45705024,6.343450882,12.84116694,3.763408794,6.49,228.82,10.42532468,0.015042693,9.228187919,7.647798742
8.05E+00,1.99E+02,14.01134522,6.093737202,13.42625608,3.017526986,7.23,231.98,10.88798701,0.012061334,9.605704698,6.742138365
8.94E+00,1.70E+02,14.56564019,5.853853648,14.01134522,2.371373706,8.05,228.83,11.38149351,0.010271359,10.02516779,6.507337526
9.93E+00,1.50E+02,15.15072934,5.853853648,14.56564019,1.685559882,8.94,222.73,11.875,0.008747027,10.40268456,6.339622642
1.10E+01,1.37E+02,15.70502431,5.853853648,15.15072934,1.150923643,9.93,216.86,12.39935065,0.007754162,10.73825503,6.205450734
1.22E+01,1.25E+02,16.29011345,5.737476639,,,11.01,213.28,12.9237013,0.007448915,11.15771812,6.373165618
1.35E+01,1.11E+02,16.84440843,5.511617492,,,12.2,211.43,13.4788961,0.007448915,11.5352349,6.272536688
,,17.42949757,4.985106245,,,13.51,211.87,14.06493506,0.008071918,11.91275168,5.970649895
,,17.98379254,4.600348126,,,14.95,206.72,14.62012987,0.007754162,12.29026846,5.870020964
