kpc_r,sigma_tot,sigma_HI_claude,sigma_H2,q,\Omega,sigma_sfr,T
6.25,258.0311965811966,2.6904117254273503,1.4754897903559794,1.1303791827443057,37.86765925426677,0.4,6062.5
6.750000000000001,240.66237980769225,2.802953125,0.8369280855745903,1.025099936525719,34.937105513510254,0.43,6147.5
7.25,219.37825854700856,2.8609225427350427,0.567385428283429,1.0148036146906807,32.55824961498226,0.52,6232.5
7.75,197.13748664529916,3.026821047008547,0.7286461452869248,1.1023244277213877,30.378845248152867,0.41,6317.5
8.25,180.42091346153848,3.3164098557692303,0.657779035678963,1.1797122993816138,28.245376724281392,0.43,6402.5
8.75,171.57405181623932,3.653027510683761,0.847036980893862,1.1444944691876804,26.344588023467374,0.56,6487.5
9.25,163.6845219017094,4.02790077457265,1.0510728333876351,1.0875658497029959,24.787135615909584,0.68,6572.5
9.75,158.9,4.3231979166666665,1.4437803139995573,0.9902386485249282,23.428824223916997,0.75,6657.5
10.25,156.00279113247865,4.527862580128205,1.494490369671289,0.81323881124594,22.399168718604816,0.86,6742.5
10.75,148.36119123931624,4.663612313034188,1.5647608624744096,0.7165712804806171,21.637166459891787,1.0,6827.5
11.25,138.2875,4.741729567307693,1.4260273846817126,0.736793191056613,20.952010220777716,0.79,6912.5
11.75,127.00307158119655,4.807892895299145,1.3450621285061206,0.8114505491105536,20.26467500466915,0.54,6997.5
12.25,116.70325854700853,4.868012419871795,1.1740477652575327,0.8852202548337057,19.55422536320001,0.33,7082.5
12.75,108.01109775641027,4.915310897435898,0.7973568147770894,0.9191747988496163,18.853490930199403,0.22,7167.5
13.25,100.62746394230768,4.95255795940171,0.5090227834269025,0.9236141795385379,18.194407503541527,0.19,7252.5
13.749999999999998,94.2644778311966,4.761758947649573,0.38818943915765153,0.914447707535833,17.58347124672788,0.16,7337.5
14.25,89.02898237179487,4.460292067307693,0.27660676414776847,0.8729205893586719,17.023101846845808,0.12,7422.5
14.75,84.30011618589744,3.9887102029914545,0.1773508650276824,0.8098370677195895,16.538500745592206,0.07,7507.5
15.249999999999998,78.27896367521369,3.434595486111113,0.15106326950564222,0.7941598052557958,16.111552043151235,0.08,7592.5
15.75,70.66237980769229,2.9213810096153834,0.11798136572136989,0.8596466054659884,15.696493791118167,0.1,7677.5
16.25,63.02376736111115,2.4415885416666687,0.08544104999921574,0.9795786516568764,15.253191968533095,0.09,7762.5
16.75,56.34596287393162,2.076652644230769,0.048471876126816915,1.0818755392969812,14.777158109214852,0.09,7847.5
