kpc_r,sigma_tot_up52,sigma_HI,sigma_H2,q,\Omega,sigma_sfr,T
0.6153,173.90429243327378,7.128677921288849,9.153540451065592,0.38853189407490046,75.341362550509,15.183638419958712,8323.145626822166
0.8592,151.66524829545784,7.056148191896941,8.105080536912752,0.5590816347297014,63.11015101480534,14.279850418770692,8420.715785089558
1.103,132.27757496476445,7.144741325222375,6.106459534149229,0.6363598637083645,54.05033495291729,12.605464227096048,8518.245939192018
1.346,115.42004160277165,7.384109504529198,4.844,0.6259843359715982,47.98953428147779,11.853893152423906,8615.45605997503
1.5900000000000003,100.65437128932871,7.562275473343614,4.844,0.6116244109952489,43.362900784650094,12.624491342910531,8713.066222407353
1.834,87.77767114290742,7.680184607020907,4.8207100591715975,0.5934451454566743,40.15008208169529,11.863406710331148,8810.676384839675
2.089,76.07736265015174,7.66619464217918,4.748284023668639,0.6057503758921148,37.232285170616024,9.694315507479903,8912.687005414438
2.333,66.34479535062286,7.534680608731314,4.3814262626262614,0.644474324928556,34.81902940509113,7.686003433261054,9010.297167846762
2.577,57.85731416438666,7.333672052180912,3.3309939393939394,0.6900607961865272,32.60685416666556,6.183812639707495,9107.907330279086
2.821,50.45563532261385,7.075178951426846,2.4745232323232322,0.7413238149532869,30.56100890551724,4.976542141278447,9205.51749271141
3.065,44.000852336023826,7.041372335632859,2.130458585858586,0.7809895358992293,28.68989811577263,5.056456027699283,9303.127655143731
3.309,38.37182888091497,7.195561202433806,1.9272130177514797,0.8109517822413961,26.96498789204491,7.236012144248493,9400.737817576055
3.552,33.481702326484246,7.414934193253597,2.1548757396449707,0.8141230391007178,25.446315002290312,5.3028571774968585,9497.947938359066
3.7960000000000003,29.198392612036095,7.691567160727246,2.234234343434342,0.7944718070518678,24.091936767609127,4.612172873431066,9595.55810079139
4.04,25.463046134557597,7.706325366070304,1.5524638383838385,0.7763680238987302,22.956177376017752,4.074656851671877,9693.168263223712
4.284,22.205562037636938,7.493181932551349,0.9667467455621301,0.759610938443831,22.010675312856673,3.329745267534805,9790.778425656035
4.528,19.364807432664797,7.405457366656123,0.995189349112426,0.7693998553790667,21.114096383811223,2.851213304800517,9888.388588088359
4.772000000000001,16.887470195375027,7.428132200009204,1.0064868686868675,0.8025557726057367,20.26058182552626,2.7227802730527464,9985.998750520683
5.026999999999999,14.636456573700352,7.287809924240825,0.7239262626262636,0.8154878373640956,19.417132466771363,2.1234261248964814,10088.009371095446
5.270999999999999,12.764016530628206,7.024781856806864,0.4664309090909095,0.8108124639125727,18.648174804488058,1.7628622802119982,10185.619533527768
5.514999999999999,11.131117496905173,6.901647081342905,0.37060545454545507,0.8277714212071948,17.989412866595345,2.0282905458240585,10283.229695960092
5.759,9.707115038901893,6.88350721466044,0.2822244444444445,0.8609677159127291,17.413356753031792,1.5821046799743945,10380.839858392415
6.002,8.470035696438286,6.8680008572487035,0.35124626262626263,0.8981648311953759,16.78428406252971,1.2729140479890197,10478.049979175426
6.246,7.3864651445007965,6.854395957209016,0.41931952662721883,0.9386918637648899,16.11009637424011,0.8635456512403834,10575.66014160775
6.49,6.441515633462262,6.583614698973922,0.3883743589743589,0.9397649006008644,15.540618724572395,0.6841199491097937,10673.270304040072
6.734,5.617453384260071,6.111978165229849,0.35742919132149903,0.9100242839634161,15.052919834832423,0.4567459151267028,10770.880466472396
6.978,4.898813312450055,5.521270159214634,0.3324618181818182,0.8981789973711543,14.579847023298809,0.3049095309271157,10868.490628904718
7.222,4.272108767131141,4.836490190550352,0.30791393939393935,0.9004718480463147,14.118329489082988,0.20035552952652286,10966.100791337041
7.465,3.7276688219059237,4.159520667221417,0.23530414201183436,0.8811898964658778,13.707274540382594,0.16372833158364,11063.310912120052
7.709,3.250788611520254,3.483810633299621,0.15733964497041425,0.8443944198930076,13.333794481598751,0.12186867679177385,11160.921074552374
7.952999999999999,2.8349156288558257,2.932556580256543,0.1297127272727273,0.7982271958464932,12.996973044621084,0.06249456189267467,11258.531236984698
