kpc_r,sigma_tot_up52,sigma_HI,sigma_H2,q,\Omega,sigma_sfr,T
0.7504,0.03366954363802972,0.0014804626024064803,0.0018790600537875355,0.48300204562251675,2.2218504348083623e-15,9.724149133724755e-20,8377.191253644325
1.257,0.025340100504636656,0.0015238911118079742,0.0010116891075410495,0.6297844263772451,1.6270036845220575e-15,8.032801867904775e-20,8579.85235318619
1.752,0.019195773517049323,0.0015957619172034623,0.0010116891075410495,0.5995545707606215,1.336027214598975e-15,8.026193142272593e-20,8777.872969596026
2.259,0.014443727589466873,0.0015819789283676147,0.0009816141216851637,0.6327301764502911,1.1520064306135425e-15,5.493599562540545e-20,8980.694085797615
2.754,0.01094149298470324,0.0014925043003483128,0.0005365461018317415,0.7272474942263488,1.008515161735594e-15,3.515370238002709e-20,9178.714702207451
3.249,0.008288461878727083,0.001494903468222589,0.00039076596205807264,0.8035840167474206,8.87529039007817e-16,4.437258676970477e-20,9376.735318617288
3.756,0.006236595164865537,0.0015969436318119465,0.0004899716445688073,0.797693320502499,7.878796495920065e-16,3.129499540312828e-20,9579.556434818876
4.251,0.00472438081987481,0.0015710021216171096,0.00020110558250439236,0.7618772655750263,7.173866037553711e-16,2.2719181502644465e-20,9777.577051228713
4.758,0.0035548274072451118,0.001551123908627417,0.00021344885794941218,0.800653383912403,6.581190528941382e-16,1.8081012359555228e-20,9980.398167430303
5.253,0.0026928728609417643,0.0014712068144772483,9.889240140806914e-05,0.8111573685114555,6.061212310243226e-16,1.1851099152645749e-20,10178.418783840138
5.748,0.0020399202318933515,0.001437819283805908,5.829117050262323e-05,0.8594711616432174,5.651110335663118e-16,1.0611050401338424e-20,10376.439400249974
6.242999999999999,0.001545291802571528,0.0014316034181088395,8.765605252580067e-05,0.9381935805775596,5.223067260897253e-16,5.752353836997072e-21,10574.46001665981
6.75,0.0011627441116418206,0.001270052279233964,7.422673592487386e-05,0.9080740795937472,4.867446396554603e-16,2.9589608823128237e-21,10777.2811328614
7.245,0.0008808084041452068,0.000996639346332542,6.382580331638e-05,0.9006879774132356,4.560863832497483e-16,1.3039389293967946e-21,10975.301749271235
7.752,0.000662758201878598,0.0007027376721734838,2.9991444228508404e-05,0.8379099711527066,4.29940903257226e-16,7.378053799198655e-22,11178.122865472826
