kpc_r,sigma_tot,sigma_HI,sigma_H2,q,\Omega,sigma_sfr,T
1.221815106875,0.3423487856530476,0.0008452512016237,0.0315075307190943,0.994826092327182,6.6680976697731615e-15,6.82275975167705e-19,5137.210167093685
2.0363585118125,0.1971905291778742,0.000930363070746,0.0278511376430004,0.8980650162516555,4.121265770437583e-15,5.097520520039904e-19,5365.413179422373
2.85090191675,0.114847864525383,0.000930363070746,0.0210553027159891,1.1862610762963106,2.941634940532031e-15,3.16238860623431e-19,5593.61619175106
3.685808906625,0.0845916429689553,0.0010101055310904,0.0163192457531462,1.063815751885744,2.1485439797974656e-15,1.9998576342007285e-19,5827.524279335873
4.5207158965000005,0.0678496995218458,0.0012237707890058,0.0144254262225239,0.8588421225354406,1.8019353630955347e-15,1.9752963123400818e-19,6061.432366920685
5.3352593014375005,0.0492492049092453,0.0012927352950482,0.011198837424081,0.9996592240635266,1.5474164110038406e-15,1.9716151498682945e-19,6289.635379249373
6.1701662913125,0.03384916131561,0.0011427156566141,0.0062522079726129,1.1320456576066742,1.3274527970586037e-15,1.5409863224682721e-19,6523.543466834186
6.9847096951875,0.0211767406738786,0.0009432022854229,0.0029420663540537,1.4491306475763244,1.1379219325640094e-15,1.0252188960704096e-19,6751.746478865202
7.8196166850625,0.0127015608555121,0.000930363070746,0.0022675518435765,1.8440545883376045,9.399841751127154e-16,7.869381357845065e-20,6985.654566450015
8.63416009,0.0094756771916267,0.0010966828068225,0.0033926794538519,2.158179635762397,7.722574678656027e-16,7.438288321207493e-20,7213.857578778703
