kpc_r,error vcirc kms,error molfrac
6.25,1094505.9602622455,0.00845066521598889
6.75,314137.8082161441,0.008412709402827406
7.25,567109.751665771,0.0075260297661676875
7.75,487760.51423351525,0.006273465312218747
8.25,645594.9561451415,0.005853579105620167
8.75,607210.0730610928,0.004231603500604796
9.25,946602.4158810546,0.0041811272492700835
9.75,960481.4979039931,0.003928725662553893
10.25,1112765.8180840565,0.002944120936779461
10.75,1255339.279573626,0.0025086765887225625
11.25,1044006.1119056643,0.0025086259317627342
11.75,712835.3422658443,0.0025086765887225625
12.25,538621.501434774,0.0025086765887225625
12.75,436543.33611149836,0.002877006574287948
13.25,250675.7385450344,0.0033449025168976044
13.75,486622.9201662538,0.0033449025168976044
14.25,641279.5278457681,0.0033449025168976044
14.75,614546.8786227986,0.0033449025168976044
15.25,450838.28837706125,0.0036774216484972643
15.75,410551.5120091699,0.005017353177445125
16.25,237173.3047777851,0.005853579105620167
16.75,187304.9179565004,0.0060760728250520025
