kpc_r,error vcirc kms,error sigma_H2
0.6153,568987.0568256979,3.540711107721778e-05
0.8592,522496.9645505193,3.9603987277856195e-05
1.103,499725.36386239436,4.09740264739144e-05
1.346,499252.72567847185,4.28052598304963e-05
1.59,495885.7501809429,4.5453145466105504e-05
1.834,489716.1686069929,4.817606943798846e-05
2.089,469692.2112982336,5.11766778907844e-05
2.333,438844.3034916073,5.190789610756689e-05
2.577,413450.83478008566,4.772300786306405e-05
2.821,392569.17406825506,4.31261847857443e-05
3.065,382023.0684796537,3.7441115956057544e-05
3.309,380124.7356915536,3.439266626357302e-05
3.552,374152.6222441104,3.940920440197206e-05
3.796,364660.9582841874,4.2936906727275555e-05
4.04,352631.7820825231,3.876626103745498e-05
4.284,338394.2861717725,3.5169969257370926e-05
4.528,321380.3363098923,3.5246061566814385e-05
4.772,301922.4252318664,3.522010139289693e-05
5.027,289488.47135603876,3.3440811003551863e-05
5.271,283793.47298008495,3.1595073008809046e-05
5.515,284062.8376218208,2.7951363029973772e-05
5.759,288808.669592071,2.4750596783773354e-05
6.002,295141.9478956161,3.090684977258112e-05
6.246,302735.27906355454,3.6971165029422117e-05
6.49,308196.85216432146,3.361462107162193e-05
6.734,311993.51774052164,3.0258077113821744e-05
6.978,316850.67707019765,3.136823465576775e-05
7.222,322545.67544615146,3.2791844934538065e-05
7.465,327170.0052383198,3.295778579903478e-05
7.709,330966.6708145199,3.299299731960516e-05
7.953,335023.82217997225,2.645639858316583e-05
