R arcmin_chemin,error vcirc kms,R arcmin,error molfrac
1.67,0,5.71,0.113286713
3.33,0,6.744,0.074825175
5,171.7,7.711,0.072727273
6.67,125.1,8.698,0.066433566
8.33,52.8,9.688,0.055944056
10,25.8,10.69,0.039160839
11.67,17,11.7,0.032868263
13.33,5.7,12.7,0.031468531
15,18.3,13.69,0.028671329
16.67,16.1,14.68,0.027972028
18.33,4.7,15.66,0.026573427
20,10.7,16.65,0.020979021
21.67,21.7,17.65,0.016783217
23.33,15.6,18.64,0.017482517
25,13.4,19.71,0.016783217
26.67,13.7,20.7,0.015383486
28.33,8.3,21.7,0.013286713
30,2.2,22.69,0.011888112
31.67,6.1,23.68,0.01048951
33.33,3.3,24.69,0.008391608
35,6.4,25.69,0.006993007
36.67,6.4,26.68,0.007692308
38.33,5.5,27.65,0.006991877
40,9.2,28.64,0.007692308
41.67,9.6,29.69,0.006993007
43.33,9.5,30.68,0.007692308
45,10.8,30.68,0.006993007
46.67,13,31.67,0.006293706
48.33,11.7,32.66,0.006293706
50,9.9,33.66,0.004895105
51.67,7.2,34.65,0.005594406
53.33,5.3,35.64,0.004895105
55,5.4,36.63,0.004895105
56.67,3.9,37.7,0.004195804
58.33,2.4,38.62,0.003496503
60,4.5,39.61,0.003496503
61.67,5.4,40.68,0.003496503
63.33,6.8,41.68,0.003496503
65,6.1,42.67,0.003496503
66.67,4.6,43.67,0.002797203
68.33,4.2,44.66,0.002097902
70,4,45.65,0.002797203
71.67,2.3,46.65,0.002097902
73.33,1,47.64,0.002097902
75,3.9,48.63,0.002096772
76.67,7.1,49.62,0.002097902
78.33,15,50.68,0.002097902
80,13.5,51.68,0.002097902
81.67,10.6,52.67,0.002097902
83.33,11.1,53.66,0.002097902
85,8.1,54.65,0.002097902
86.67,7.4,55.64,0.002797203
88.33,6.6,56.63,0.002097902
90,7.5,57.62,0.002797203
91.67,6.1,58.68,0.002797203
93.33,6.3,59.6,0.002797203
95,4.7,60.59,0.002797203
96.67,1.8,61.58,0.002797203
98.33,1.7,62.65,0.002797203
100,3.3,63.57,0.002797203
101.67,5.5,64.63,0.002797203
103.33,5,65.69,0.002797203
105,1.7,66.61,0.003496503
106.67,1.8,67.61,0.002797203
108.33,5,68.53,0.004195804
110,2,69.52,0.004195804
111.67,1.6,70.59,0.004895105
113.33,1.8,71.58,0.004895105
115,2,72.57,0.004895105
116.67,2.3,73.56,0.004895105
118.33,4.8,74.55,0.005594406
120,6.6,75.62,0.005594406
121.67,3,76.61,0.005594406
123.33,5.2,77.68,0.006293706
125,2.9,78.6,0.006993007
126.67,2.1,79.59,0.006993007
128.33,1.8,,
130,3.3,,
131.67,1.4,,
133.33,3.1,,
135,1.3,,
136.67,2,,
138.33,1.5,,
140,1.6,,
141.67,3,,
143.33,4.3,,
145,1.9,,
146.67,6.1,,
148.33,3.6,,
150,3.2,,
151.67,3.1,,
153.33,4.1,,
155,4.7,,
156.67,5.8,,
158.33,4.5,,
160,5.8,,
161.67,7.8,,
163.33,4.7,,
165,10.7,,
166.67,4.8,,
