sigma_tot_up52,,sigma_tot_up72,,sigma_HI,,sigma_H2,,vcirc_kam,,vcirc_koch,,sigma_sfr,
r kpc,sigma_tot_up52,r kpc,sigma_tot_up72,r kpc,sigma_HI,r kpc,sigma_H2,r kpc,kms_vcirc_Kam,arcsec_r,kms_vcirc_Koch,r kpc,sigma_sfr
0,270.3979182,0,374.3971175,0.488692191,7.89,0.2671,9.557,0.488692191,42,9,1.58,0.3715,21.11
0.0019998,270.094729,0.0019998,373.9773171,0.977384381,7.73,0.7504,8.997,0.977384381,58.8,27,11.88,0.6153,15.96
0.0039996,269.7918797,0.0039996,373.5579873,1.466076572,8.26,1.257,4.844,1.466076572,69.4,45,22.71,0.8592,15.01
0.0059994,269.4893701,0.0059994,373.1391278,1.954768762,8.52,1.752,4.844,1.954768762,79.3,63,30.53,1.103,13.25
0.0079992,269.1871996,0.0079992,372.7207379,2.443460953,8.23,2.259,4.7,2.443460953,86.7,81,29.95,1.346,12.46
0.009999,268.8853679,0.009999,372.3028172,2.932153143,7.66,2.754,2.569,2.932153143,91.4,99,34.2,1.59,13.27
0.0119988,268.5838747,0.0119988,371.885365,3.420845334,8,3.249,1.871,3.420845334,94.2,117,36.76,1.834,12.47
0.0139986,268.2827196,0.0139986,371.4683809,3.909537524,8.61,3.756,2.346,3.909537524,96.5,135,44.61,2.089,10.19
0.0159984,267.9819021,0.0159984,371.0518644,4.398229715,8.14,4.251,0.9629,4.398229715,99.8,153,47.8,2.333,8.079
0.0179982,267.6814219,0.0179982,370.6358149,4.886921906,8.19,4.758,1.022,4.886921906,102.1,171,51.67,2.577,6.5
0.019998,267.3812786,0.019998,370.2202319,5.375614096,7.61,5.253,0.4735,5.375614096,103.6,189,52.73,2.821,5.231
0.0219978,267.0814719,0.0219978,369.8051149,5.864306287,7.57,5.748,0.2791,5.864306287,105.9,207,53.24,3.065,5.315
0.0239976,266.7820013,0.0239976,369.3904633,6.352998477,7.54,6.243,0.4197,6.352998477,105.7,225,55.3,3.309,7.606
0.0259974,266.4828665,0.0259974,368.9762767,6.841690668,6.5,6.75,0.3554,6.841690668,106.8,243,57.58,3.552,5.574
0.0279972,266.1840671,0.0279972,368.5625545,7.330382858,4.99,7.245,0.3056,7.330382858,107.3,261,58.7,3.796,4.848
0.029997,265.8856028,0.029997,368.1492962,7.819075049,3.5,7.752,0.1436,7.819075049,108.3,279,59.47,4.04,4.283
0.0319968,265.5874731,0.0319968,367.7365012,8.307767239,2.51,8.247,0.1094,8.307767239,109.7,297,60.3,4.284,3.5
0.0339966,265.2896777,0.0339966,367.3241692,8.79645943,1.75,,,8.79645943,112,315,64.32,4.528,2.997
0.0359964,264.9922162,0.0359964,366.9122994,9.285151621,1.34,,,9.285151621,116.1,333,67.66,4.772,2.862
0.0379962,264.6950883,0.0379962,366.5008915,9.773843811,1,,,9.773843811,117.2,351,69.07,5.027,2.232
0.039996,264.3982935,0.039996,366.0899449,10.262536,0.75,,,10.262536,116.5,369,72.05,5.271,1.853
0.0419958,264.1018315,0.0419958,365.679459,10.75122819,0.67,,,10.75122819,115.7,387,75.89,5.515,2.132
0.0439956,263.8057019,0.0439956,365.2694334,11.23992038,0.56,,,11.23992038,117.4,405,74.09,5.759,1.663
0.0459954,263.5099044,0.0459954,364.8598676,11.72861257,0.63,,,11.72861257,116.8,423,73.44,6.002,1.338
0.0479952,263.2144385,0.0479952,364.450761,12.21730476,0.49,,,12.21730476,115.7,441,77.06,6.246,0.9077
0.049995,262.9193039,0.049995,364.0421131,12.70599695,0.36,,,12.70599695,115.1,459,77.06,6.49,0.7191
0.051994801,262.6245003,0.051994801,363.6339234,13.19468915,0.23,,,13.19468915,117.1,477,77.82,6.734,0.4801
0.053994601,262.3300272,0.053994601,363.2261915,13.68338134,0.18,,,13.68338134,118.2,495,79.01,6.978,0.3205
0.055994401,262.0358843,0.055994401,362.8189167,14.17207353,0.12,,,14.17207353,118.4,513,80.96,7.222,0.2106
0.057994201,261.7420712,0.057994201,362.4120985,14.66076572,0.08,,,14.66076572,118.2,531,80.34,7.465,0.1721
0.059994001,261.4485875,0.059994001,362.0057365,15.14945791,0.04,,,15.14945791,117.5,549,80.35,7.709,0.1281
0.061993801,261.1554329,0.061993801,361.5998302,15.6381501,0.03,,,15.6381501,119.6,567,82.9,7.953,0.06569
0.063993601,260.862607,0.063993601,361.194379,16.12684229,0.03,,,16.12684229,118.6,585,86.23,,
0.065993401,260.5701095,0.065993401,360.7893824,16.61553448,0,,,16.61553448,122.6,603,86.92,,
0.067993201,260.2779399,0.067993201,360.3848399,17.10422667,0.03,,,17.10422667,124.1,621,86.13,,
0.069993001,259.986098,0.069993001,359.980751,17.59291886,0.07,,,17.59291886,125,639,87.43,,
0.071992801,259.6945832,0.071992801,359.5771152,18.08161105,0.03,,,18.08161105,125.5,657,87.89,,
0.073992601,259.4033953,0.073992601,359.173932,18.57030324,0.04,,,18.57030324,125.2,675,87.82,,
0.075992401,259.112534,0.075992401,358.7712009,19.05899543,0.04,,,19.05899543,122,693,91.08,,
0.077992201,258.8219987,0.077992201,358.3689213,19.54768762,0.04,,,19.54768762,120.4,711,90.37,,
0.079992001,258.5317893,0.079992001,357.9670928,20.03637981,0.08,,,20.03637981,114,729,88.22,,
0.081991801,258.2419052,0.081991801,357.5657149,20.525072,0.09,,,20.525072,110,747,90.67,,
0.083991601,257.9523462,0.083991601,357.164787,21.01376419,-1,,,21.01376419,98.7,765,92.32,,
0.085991401,257.6631118,0.085991401,356.7643087,21.50245638,-1,,,21.50245638,100.1,783,93.31,,
0.087991201,257.3742018,0.087991201,356.3642794,21.99114858,0.09,,,21.99114858,104.3,801,94.15,,
0.089991001,257.0856157,0.089991001,355.9646987,22.47984077,-1,,,22.47984077,101.2,819,93.4,,
0.091990801,256.7973532,0.091990801,355.565566,22.96853296,-1,,,22.96853296,123.5,837,94.02,,
0.093990601,256.5094139,0.093990601,355.1668808,23.45722515,-1,,,23.45722515,115.3,855,94.91,,
0.095990401,256.2217975,0.095990401,354.7686427,,,,,,,,,,
0.097990201,255.9345035,0.097990201,354.370851,,,,,,,,,,
0.099990001,255.6475317,0.099990001,353.9735055,,,,,,,,,,
0.101989801,255.3608817,0.101989801,353.5766054,,,,,,,,,,
0.103989601,255.0745531,0.103989601,353.1801504,,,,,,,,,,
0.105989401,254.7885455,0.105989401,352.7841399,,,,,,,,,,
0.107989201,254.5028586,0.107989201,352.3885735,,,,,,,,,,
0.109989001,254.2174921,0.109989001,351.9934506,,,,,,,,,,
0.111988801,253.9324455,0.111988801,351.5987707,,,,,,,,,,
0.113988601,253.6477186,0.113988601,351.2045334,,,,,,,,,,
0.115988401,253.3633109,0.115988401,350.8107381,,,,,,,,,,
0.117988201,253.0792221,0.117988201,350.4173844,,,,,,,,,,
0.119988001,252.7954518,0.119988001,350.0244718,,,,,,,,,,
0.121987801,252.5119997,0.121987801,349.6319996,,,,,,,,,,
0.123987601,252.2288655,0.123987601,349.2399676,,,,,,,,,,
0.125987401,251.9460487,0.125987401,348.8483751,,,,,,,,,,
0.127987201,251.663549,0.127987201,348.4572218,,,,,,,,,,
0.129987001,251.3813661,0.129987001,348.066507,,,,,,,,,,
0.131986801,251.0994996,0.131986801,347.6762303,,,,,,,,,,
0.133986601,250.8179492,0.133986601,347.2863912,,,,,,,,,,
0.135986401,250.5367144,0.135986401,346.8969892,,,,,,,,,,
0.137986201,250.255795,0.137986201,346.5080238,,,,,,,,,,
0.139986001,249.9751906,0.139986001,346.1194946,,,,,,,,,,
0.141985801,249.6949008,0.141985801,345.7314011,,,,,,,,,,
0.143985601,249.4149252,0.143985601,345.3437426,,,,,,,,,,
0.145985401,249.1352636,0.145985401,344.9565189,,,,,,,,,,
0.147985201,248.8559156,0.147985201,344.5697293,,,,,,,,,,
0.149985001,248.5768808,0.149985001,344.1833735,,,,,,,,,,
0.151984802,248.2981589,0.151984802,343.7974508,,,,,,,,,,
0.153984602,248.0197495,0.153984602,343.4119609,,,,,,,,,,
0.155984402,247.7416523,0.155984402,343.0269032,,,,,,,,,,
0.157984202,247.4638669,0.157984202,342.6422773,,,,,,,,,,
0.159984002,247.186393,0.159984002,342.2580826,,,,,,,,,,
0.161983802,246.9092302,0.161983802,341.8743187,,,,,,,,,,
0.163983602,246.6323781,0.163983602,341.4909851,,,,,,,,,,
0.165983402,246.3558365,0.165983402,341.1080814,,,,,,,,,,
0.167983202,246.079605,0.167983202,340.7256069,,,,,,,,,,
0.169983002,245.8036832,0.169983002,340.3435614,,,,,,,,,,
0.171982802,245.5280708,0.171982802,339.9619442,,,,,,,,,,
0.173982602,245.2527674,0.173982602,339.5807549,,,,,,,,,,
0.175982402,244.9777727,0.175982402,339.199993,,,,,,,,,,
0.177982202,244.7030864,0.177982202,338.8196581,,,,,,,,,,
0.179982002,244.428708,0.179982002,338.4397496,,,,,,,,,,
0.181981802,244.1546374,0.181981802,338.0602671,,,,,,,,,,
0.183981602,243.880874,0.183981602,337.6812101,,,,,,,,,,
0.185981402,243.6074175,0.185981402,337.3025781,,,,,,,,,,
0.187981202,243.3342677,0.187981202,336.9243707,,,,,,,,,,
0.189981002,243.0614242,0.189981002,336.5465874,,,,,,,,,,
0.191980802,242.7888866,0.191980802,336.1692276,,,,,,,,,,
0.193980602,242.5166546,0.193980602,335.792291,,,,,,,,,,
0.195980402,242.2447278,0.195980402,335.415777,,,,,,,,,,
0.197980202,241.973106,0.197980202,335.0396852,,,,,,,,,,
0.199980002,241.7017887,0.199980002,334.6640151,,,,,,,,,,
0.201979802,241.4307756,0.201979802,334.2887662,,,,,,,,,,
0.203979602,241.1600664,0.203979602,333.9139381,,,,,,,,,,
0.205979402,240.8896607,0.205979402,333.5395302,,,,,,,,,,
0.207979202,240.6195583,0.207979202,333.1655422,,,,,,,,,,
0.209979002,240.3497587,0.209979002,332.7919735,,,,,,,,,,
0.211978802,240.0802616,0.211978802,332.4188237,,,,,,,,,,
0.213978602,239.8110667,0.213978602,332.0460923,,,,,,,,,,
0.215978402,239.5421736,0.215978402,331.6737788,,,,,,,,,,
0.217978202,239.273582,0.217978202,331.3018828,,,,,,,,,,
0.219978002,239.0052916,0.219978002,330.9304038,,,,,,,,,,
0.221977802,238.737302,0.221977802,330.5593413,,,,,,,,,,
0.223977602,238.4696129,0.223977602,330.1886949,,,,,,,,,,
0.225977402,238.202224,0.225977402,329.818464,,,,,,,,,,
