R kpc,error vcirc kms,R kpc,error sigma_H2
0.488692191,6.24,0.2671,0.125284098
0.977384381,5.26,0.7504,0.186697744
1.466076572,5.25,1.257,0.20032855
1.954768762,5.12,1.752,0.226048591
2.443460953,4.47,2.259,0.254613587
2.932153143,4.03,2.754,0.213963985
3.420845334,3.99,3.249,0.15874249
3.909537524,3.79,3.756,0.208856928
4.398229715,3.49,4.251,0.16834567
4.886921906,3.08,4.758,0.169102705
5.375614096,2.96,5.253,0.152565241
5.864306287,3.06,5.748,0.117172334
6.352998477,3.22,6.243,0.177216725
6.841690668,3.3,6.75,0.143822795
7.330382858,3.42,7.245,0.157650928
7.819075049,3.5,7.752,0.158001244
8.307767239,3.59,8.247,0.080852277
8.79645943,3.78,,
9.285151621,3.75,,
9.773843811,4.03,,
10.262536,4.49,,
10.75122819,4.82,,
11.23992038,4.91,,
11.72861257,3.29,,
12.21730476,2.76,,
12.70599695,2.8,,
13.19468915,2.6,,
13.68338134,2.48,,
14.17207353,2.59,,
14.66076572,2.5,,
15.14945791,2.65,,
15.6381501,2.66,,
16.12684229,2.66,,
16.61553448,2.59,,
17.10422667,2.63,,
17.59291886,2.57,,
18.08161105,2.63,,
18.57030324,2.35,,
19.05899543,2.44,,
19.54768762,2.25,,
20.03637981,2.09,,
20.525072,2.36,,
21.01376419,2.48,,
21.50245638,2.26,,
21.99114858,2.15,,
22.47984077,2.37,,
22.96853296,2.44,,
23.45722515,2.5,,
