sigma_total,,sigma_HI,,sigma_H2,,v_circ_kms,,sigma_sfr,
r kpc,sigma_tot,r kpc,sigma_HI,r kpc,sigma_H2,r kpc,vcirc,r kpc,sigma_sfr
9.00E-02,2.28E+04,0.277147488,4.331396158,0.277147488,397.0426943,0.09,201.68,0.277597403,0.217374854
1.90E-01,9.99E+03,0.862236629,4.693660011,0.831442464,282.2158462,0.19,232.77,0.678571429,0.170827639
3.00E-01,5.16E+03,1.416531605,4.600348126,1.416531605,157.6429011,0.3,230.6,1.017857143,0.123886292
4.20E-01,3.14E+03,2.001620746,4.331396158,1.97082658,81.26129161,0.42,221.22,1.26461039,0.089843854
5.60E-01,2.11E+03,2.586709887,4.078168035,2.555915721,48.2102668,0.56,208.89,1.511363636,0.06647746
7.00E-01,1.65E+03,3.141004862,3.917628549,3.141004862,34.26760253,0.7,197.11,1.758116883,0.048210267
8.60E-01,1.39E+03,3.726094003,4.245286227,3.726094003,29.18208238,0.86,189.74,2.066558442,0.034962675
1.04E+00,1.19E+03,4.280388979,4.600348126,4.249594814,27.47599878,1.04,185.79,2.375,0.025869659
1.23E+00,1.05E+03,4.834683955,5.086222431,4.834683955,27.47599878,1.23,182.6,2.806818182,0.021163203
1.45E+00,9.29E+02,5.419773096,5.402044278,5.419773096,25.86965862,1.45,180.59,3.331168831,0.018022455
1.68E+00,8.39E+02,6.004862237,5.623413252,5.974068071,23.87299883,1.68,179.86,3.886363636,0.018760993
1.94E+00,7.59E+02,6.589951378,5.972591209,6.559157212,21.59247004,1.94,180.13,4.410714286,0.019529795
2.23E+00,6.91E+02,7.144246353,6.343450882,7.113452188,20.74246974,2.23,180.52,4.996753247,0.019529795
2.54E+00,6.36E+02,7.698541329,6.737338565,7.698541329,20.33010094,2.54,181.33,5.551948052,0.019529795
2.89E+00,5.93E+02,8.28363047,6.873996431,8.252836305,19.14153422,2.89,183.09,6.076298701,0.019529795
3.27E+00,5.57E+02,8.837925446,6.873996431,8.80713128,16.96880124,3.27,187.84,6.662337662,0.01992593
3.69E+00,5.14E+02,9.423014587,7.013426219,9.423014587,14.16324575,3.69,196.41,7.186688312,0.02074247
4.15E+00,4.60E+02,10.00810373,7.013426219,10.00810373,11.58653261,4.15,203.97,7.772727273,0.02159247
4.65E+00,4.11E+02,10.5623987,6.873996431,10.5623987,9.105469114,4.65,206.6,8.297077922,0.022933224
5.21E+00,3.76E+02,11.70178282,6.737338565,11.11669368,7.013426219,5.21,210.05,8.852272727,0.022933224
5.82E+00,3.42E+02,12.28687196,6.737338565,11.70178282,5.623413252,5.82,218.64,9.407467532,0.021163203
6.49E+00,2.96E+02,12.84116694,6.472119265,12.2560778,4.693660011,6.49,228.82,9.900974026,0.018022455
7.23E+00,2.43E+02,13.45705024,6.343450882,12.84116694,3.763408794,7.23,231.98,10.42532468,0.015042693
8.05E+00,1.99E+02,14.01134522,6.093737202,13.42625608,3.017526986,8.05,228.83,10.88798701,0.012061334
8.94E+00,1.70E+02,14.56564019,5.853853648,14.01134522,2.371373706,8.94,222.73,11.38149351,0.010271359
9.93E+00,1.50E+02,15.15072934,5.853853648,14.56564019,1.685559882,9.93,216.86,11.875,0.008747027
1.10E+01,1.37E+02,15.70502431,5.853853648,15.15072934,1.150923643,11.01,213.28,12.39935065,0.007754162
1.22E+01,1.25E+02,16.29011345,5.737476639,,,12.2,211.43,12.9237013,0.007448915
1.35E+01,1.11E+02,16.84440843,5.511617492,,,13.51,211.87,13.4788961,0.007448915
,,17.42949757,4.985106245,,,14.95,206.72,14.06493506,0.008071918
,,17.98379254,4.600348126,,,16.54,204.54,14.62012987,0.007754162
,,18.59967585,4.160888197,,,,,15.11363636,0.006343451
,,19.15397083,3.917628549,,,,,15.5762987,0.004985106
,,,,,,,,15.91558442,0.004078168
,,,,,,,,16.31655844,0.003078733
,,,,,,,,16.77922078,0.00246855
,,,,,,,,17.21103896,0.002060409
,,,,,,,,17.73538961,0.001719749
,,,,,,,,18.25974026,0.001435413
,,,,,,,,18.75324675,0.001222389
,,,,,,,,19.21590909,0.001040979
