r arcsec,vdisp,vdisp warp
100,17.1,12.05
200,8.58,15.64
300,12.94,15.7
400,17.12,10.75
500,12.99,8.71
600,10.03,5.82
700,13.13,6.08
800,15.38,8.23
900,16.6,9.48
1000,14.95,11.61
1100,15.63,13.61
1200,14.5,12.37
1300,12.63,7.77
1400,12.25,6.22
1500,12.57,5.98
1600,12.51,5.38
1700,13.53,5.47
1800,13.79,6.62
1900,13.93,8.16
2000,13.21,8.31
2100,11.56,8.67
2200,10.87,9.3
2300,10.81,9.67
2400,11.06,8.51
2500,11.77,7.51
2600,11.12,6.32
2700,12.21,6.13
2800,12.12,6.52
2900,12.12,9.29
3000,11.7,10.66
3100,11.41,11.48
3200,11.7,10.77
3300,12.54,10.61
3400,12.15,11.23
3500,11.65,12.05
3600,11.18,11.8
3700,11.21,11.42
3800,11.36,10.91
3900,11.72,8.56
4000,10.62,6.32
4100,10.23,5.45
4200,10.47,4.81
4300,10.62,5.43
4400,10.65,6.68
4500,9.76,10.43
4600,10.82,10.71
4700,11.45,10.95
4800,10.92,10.25
4900,10.91,9.16
5000,10.46,8.87
5100,10.01,9.05
5200,10.04,8.72
5300,9.86,8.98
5400,9.94,8.49
5500,10.17,9.61
5600,9.86,6.84
5700,9.55,6.16
5800,9.72,6.88
5900,9.79,9.87
6000,10.15,9.87
6100,9.82,9.85
6200,9.76,8.62
6300,9.86,7.97
6400,9.37,7.54
6500,9.73,7.19
6600,9.58,7.99
6700,9.66,8.3
6800,10.21,8.56
6900,10.21,7.14
7000,9.2,7.23
7100,8.95,7.85
7200,9.59,7.05
7300,10.2,7.49
7400,8.94,6.64
7500,9.01,8.34
7600,9.12,7.07
7700,9.29,5.53
7800,9.46,5.61
7900,9.8,4.06
8000,8.34,4.75
8100,9.01,8.15
8200,8.46,7.09
8300,8.98,5.89
8400,7.7,6.24
8500,7.99,5.59
8600,7.04,5.59
8700,6.43,4.49
8800,5.8,3.81
8900,8.92,2.61
9000,8.76,3.57
9100,6.95,4.67
9200,6.81,5.37
9300,6.6,6.67
9400,9.3,4.19
9500,13.69,5.09
9600,11.38,4.45
9700,6.81,4.4
9800,4.58,4.53
9900,9.05,5.62
10000,10.89,5.2
