r,v disp warp
6.25,940068.2520042442
6.750000000000001,1116707.6896880933
7.25,1417823.4308751468
7.75,1470153.1993977944
8.25,1590780.5922648578
8.75,1647029.7996561886
9.25,1394146.6636651102
9.75,1139362.0860309834
10.25,1068860.9063654654
10.75,1334412.507720086
11.25,1786979.7484860604
11.75,1979547.220039859
12.25,1854495.6518201386
12.75,1914634.0405246615
13.25,2085450.9694575255
13.749999999999998,2020073.9524045975
14.25,1917670.0751445107
14.75,1480616.545343062
15.249999999999998,1045318.6056391344
15.75,871956.0190936204
16.25,937478.990211673
16.75,1347997.7247047802
