h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
5.510404324483735e+20,7.3727999112552464e+19,625471.5493073423,34146.624572116394,68955.21185067072,18497419395040.6,357528132577027.75,6.014981237886302e-06,2.5185278718737938e-06,6.44624729911025e-07,-0.08632372715907193,0.12545971461583438,3.0577283242039255
5.930359299766802e+20,7.44529431670246e+19,659134.0636288775,33909.73429399254,60157.17869314519,18349457328939.695,347553610877468.1,5.9590369412848615e-06,2.255248056351735e-06,5.550791493513612e-07,-0.09200182925487922,0.13719370211986087,2.645837120620099
6.980549287176996e+20,7.833565290532756e+19,661753.8562401525,33677.70682219971,53510.87086036244,17789229902328.574,290425451944222.56,5.586871658904451e-06,1.99308307417031e-06,5.336673327406976e-07,-0.0825279428291064,0.14611265847864452,2.6994238681226776
6.689344142427e+20,7.533002386414058e+19,594069.5022413385,33450.378031379776,48433.69991727051,19137966488626.383,396912947034299.1,5.862328841003855e-06,2.1906374629337128e-06,5.348588164982975e-07,-0.07578916583633853,0.13956866625746248,2.938671763375395
6.859382179921254e+20,7.333011981419549e+19,527052.9312995373,33227.59144811707,41746.91943272399,19072210951478.348,420671795448055.9,5.9162203540166604e-06,2.1992107078603454e-06,5.202392183667095e-07,-0.06856724174488757,0.1364468906724496,2.999621112508465
7.320928005266681e+20,7.231460057405667e+19,519752.3574194331,33009.197798282206,35512.65974543485,17844772720630.88,359458955583511.0,6.2882250902882e-06,2.136742534740109e-06,4.6985242835074767e-07,-0.06920225121425581,0.142799421592293,2.601801109504707
7.53788651264782e+20,7.034069579694504e+19,545738.4897353577,32795.05458667934,30871.855282399865,16965794708907.84,331166174207554.8,6.549380595269062e-06,2.042722787610055e-06,4.286980596075705e-07,-0.07294248068201044,0.1521016570049753,2.2279222875498954
7.533519629467673e+20,6.835006983744285e+19,539671.6070639396,32585.02570630703,27564.307450868408,16497908588475.846,327055940534969.4,6.830537217735305e-06,1.942077448181805e-06,3.7079045175305464e-07,-0.08286832085576448,0.16332401003688882,1.8193727823020953
7.765611186211239e+20,6.7803063013860745e+19,584680.9177384822,32378.98107479835,25264.590593645986,15891652004768.314,301168384783927.94,6.928531704808932e-06,1.7116735274662413e-06,2.943656035291032e-07,-0.10347286486895935,0.19022054133545832,1.3824522451414278
8.393913237122695e+20,6.888965455392024e+19,580805.7351764872,32176.796295833974,23326.861646403642,15357566544347.342,266907798613851.97,6.8054822456864204e-06,1.526853401586062e-06,2.45754146515849e-07,-0.11289593747189078,0.2103411676936656,1.2106488513528526
7.930098505565599e+20,6.689242172556444e+19,565700.5883385437,31978.35234352581,22368.220759299667,16388195874960.16,348625378688964.56,6.965681468250841e-06,1.6099681001766326e-06,2.450588744972637e-07,-0.1114192252119399,0.2031071438472039,1.2527510917687787
7.299624632341552e+20,6.4394605025931305e+19,547752.2396128415,31783.535267951946,21587.618238708426,18247644566133.44,526231426778223.56,6.318088816504336e-06,1.5892822893077044e-06,2.6684540408765075e-07,-0.10109591907412081,0.18491582049731675,1.4512393141863256
6.686512518176366e+20,6.191176316846961e+19,576499.6982069985,31592.23592018786,20938.993111134572,21066866147312.65,887494300746085.0,5.529660191786275e-06,1.5366621496646007e-06,2.9059370069469464e-07,-0.09057190584178547,0.17023344211722635,1.7752820322471026
6.414198817881468e+20,6.062064886446402e+19,587483.9452439976,31404.349695326506,20119.172295430948,23848589209289.848,1360313283894935.8,4.905129163416326e-06,1.4550626182363084e-06,2.9902703702826093e-07,-0.08279802200471871,0.16299819348327008,2.1037523657643518
6.516419048900196e+20,6.0688506378711785e+19,557343.5663481173,31219.776292112798,19123.92005183263,25059456551820.75,1594774264907428.0,4.6524098167995175e-06,1.3938624965697792e-06,2.91993586250431e-07,-0.07875726290259685,0.16168567217426713,2.2382403183393413
6.831631036633431e+20,6.255542031263704e+19,536198.5388757343,31038.419487937714,18759.579691326886,26575735279297.22,1812823712875416.0,4.328963619698448e-06,1.3079574936585798e-06,2.8463252547720897e-07,-0.07507149085283515,0.1630172365244867,2.4125175685062277
7.155314828896875e+20,6.508866584713395e+19,542014.2530681378,30860.186928045485,18806.193013354023,29193988066419.98,2247298692639943.5,3.876296068748294e-06,1.1827687140293657e-06,2.7500474373376475e-07,-0.07329765403891161,0.1682136501328891,2.6481982545594795
7.512757261490067e+20,6.896847572660313e+19,561255.1415991922,30684.989927904768,19489.696331076062,34691787623056.91,3399873930454291.5,3.1888787439860223e-06,1.0119742765533851e-06,2.64156954196713e-07,-0.07017341995194301,0.17437264925533155,3.2238452427584385
8.977896041644795e+20,7.777921915695387e+19,502697.8829998012,30512.743287783167,20148.82332772962,33692744751315.977,2478516043442433.5,3.142241635439457e-06,9.585826826440952e-07,2.4288594742611897e-07,-0.06740389707842394,0.17764106403209587,3.1784368596381936
1.1379808274983619e+21,9.007476340841064e+19,497590.3670499611,30343.365118644517,20746.015839386415,32105656650929.29,1618111545861745.5,3.1273672587155268e-06,9.539498274760538e-07,2.318467667113952e-07,-0.05541597422289093,0.1680039477574795,3.5403719017698183
1.3986486742192984e+21,1.0380211869196214e+20,508593.5186896807,30176.776678560655,21738.766078118282,33841832917362.27,1443829398467030.2,2.8186293808175726e-06,9.306731511344834e-07,2.28457390093865e-07,-0.041157872972038885,0.1508872329635566,4.790780136958654
1.7495922904342025e+21,1.1962875585547805e+20,497686.14679470676,30012.90221889547,22364.712960098524,34644739545917.586,1179891208494280.8,2.615727981643496e-06,9.054247048017879e-07,2.2156585052088736e-07,-0.031624716953294996,0.14063733168695566,6.118553636702528
