r,v disp
6.25,2260011.2923001335
6.750000000000001,2381735.81522022
7.25,2391290.90982852
7.75,2146785.46621989
8.25,1904673.1874372056
8.75,1878351.9512713777
9.25,1972326.4804101412
9.75,1950459.728412259
10.25,2113192.398812582
10.75,2099245.578773479
11.25,2044705.4982866752
11.75,1979883.5785406965
12.25,2083845.5514961823
12.75,2123601.435045094
13.25,2014699.1139313553
13.749999999999998,1938307.4871141107
14.25,1959373.64560799
14.75,2028972.0998057746
15.249999999999998,1817321.1451665217
15.75,1798892.3527797433
16.25,1838706.1999853505
16.75,1799306.342361813
