r,v disp
0.6153,1799446.6876323384
0.8592,1695713.3682274877
1.103,1636543.985995066
1.346,1619318.8960922384
1.5900000000000003,1623983.7460559357
1.834,1649927.708678715
2.089,1681798.776437462
2.333,1716390.7265303833
2.577,1736783.774842169
2.821,1745431.7623830952
3.065,1702286.9729463544
3.309,1615807.0977140518
3.552,1534330.1067830825
3.796,1456498.2189147444
4.04,1411033.8108564978
4.284,1393737.8358100373
4.528,1404038.2166381513
4.772000000000001,1438630.1667310728
5.026999999999999,1430099.0387744815
5.270999999999999,1386859.1010698492
5.514999999999999,1373260.3328921432
5.759,1381908.3204153734
6.002,1366119.7687684149
6.246,1331527.8186047089
6.49,1316358.6137523467
6.734,1316358.6137523467
6.978,1335683.2269465763
7.222,1370275.1771102822
7.465,1428581.2455627257
7.709,1506413.133271798
7.952999999999999,1584245.0210682868
