r,bord_biso
0.62600321,0.253061224
0.866773676,0.296598639
1.123595506,0.353741497
1.364365971,0.375510204
1.621187801,0.372789116
1.878009631,0.351020408
2.118780096,0.307482993
2.375601926,0.282993197
2.600321027,0.296598639
2.873194222,0.310204082
3.113964687,0.293877551
3.370786517,0.272108844
3.627608347,0.272108844
3.884430177,0.282993197
4.125200642,0.296598639
4.365971108,0.307482993
4.622792937,0.337414966
4.863563403,0.378231293
5.120385233,0.419047619
5.377207063,0.43537415
5.617977528,0.419047619
5.874799358,0.402721088
6.131621188,0.389115646
6.372391653,0.36462585
6.629213483,0.380952381
6.869983949,0.378231293
7.126805778,0.394557823
7.367576244,0.457142857
7.624398074,0.457142857
7.881219904,0.468027211
8.121990369,0.484353741
8.378812199,0.511564626
