h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
1.3342876770600452e+20,1.4805241503662807e+19,459245.64966367086,92177.87886423715,350158.04170775606,2015396302293.6199,885890222201.8792,8.334941419712082e-06,4.8358571025816865e-06,2.651384974930035e-06,-0.03213827901037227,-0.13244298456341821,17.66649790375619
2.3808243351659895e+20,1.8224709192390009e+19,488539.4926019088,91827.17816626764,203033.58178391997,2323455020012.015,911164101934.8859,6.316505524178745e-06,3.2394699392132295e-06,1.7052089431373675e-06,-0.01877210158501069,-0.13844413515687745,23.73428987650416
3.611880574563665e+20,2.1093452782502978e+19,502217.85750169604,91423.04304305914,126499.69951630094,2604811326153.1455,977358008288.7573,5.200871190781607e-06,2.440311084216145e-06,1.1706350727929137e-06,-0.01252685066367701,-0.13596493079080765,27.74073266941497
4.39795125261522e+20,2.249743245775534e+19,494952.2517038109,91024.19722492826,88911.95022834626,2807198210502.464,1096380653940.2052,4.778807237942857e-06,1.9627974447994933e-06,8.56117325599478e-07,-0.012295013116327564,-0.14802000381223826,23.16541482750724
4.726757079478856e+20,2.2966183412402414e+19,472223.90688984434,90574.70356544088,67244.4705263475,2989574925877.2495,1298686088359.6956,4.65814926717335e-06,1.6816000960236456e-06,6.536772259674177e-07,-0.014266885462053418,-0.16289636510206626,16.91584487501028
4.8899628985261484e+20,2.327903336314019e+19,443699.144964946,90076.89700767839,53771.44905324145,3208543556128.109,1600657929482.185,4.5851137667933265e-06,1.5115364678340796e-06,5.191612469720729e-07,-0.016366436833457922,-0.17235128884569287,12.963572747265808
4.723252359530838e+20,2.3002448431382495e+19,405661.055140049,89560.23796118885,44901.4046130726,3449365624392.5996,2088381830285.4075,4.670799369554874e-06,1.4292484858411804e-06,4.2593651394517634e-07,-0.019899733112117127,-0.18103100676550782,9.63992872026526
4.553301755100631e+20,2.2792434788188357e+19,369411.7503114105,88972.96563129181,38096.407079633515,3730902505736.089,2768872615524.681,4.742137325833362e-06,1.3701383932579284e-06,3.526733500760346e-07,-0.023556640694984025,-0.18647810298911754,7.445466651539866
4.3167121828080465e+20,2.250787108052408e+19,334676.13579388655,88371.18568911728,33435.5354830747,4042135587513.0273,3717032317665.23,4.837063226368594e-06,1.3194216143616463e-06,2.9717800606184297e-07,-0.029001957476513508,-0.19702158146029192,5.731158912858911
4.18996370343858e+20,2.244733351184106e+19,306737.7361645807,87705.39915061856,29464.843049603922,4369352964802.7183,4873748543938.857,4.870723018934073e-06,1.2763505362447488e-06,2.528128606250892e-07,-0.03328964569314567,-0.20225402134373108,4.721720605789293
4.0875934141687864e+20,2.2448338030980125e+19,281568.22978029464,86980.255550121,26094.01527557989,4726277549527.178,6386370661771.534,4.888351307428077e-06,1.243583298685331e-06,2.1624451930072093e-07,-0.03706234000820027,-0.20438308394318033,4.0138845428105965
4.2754919235116466e+20,2.30232433397087e+19,274091.2054332421,86224.65025638758,22921.291308117696,4943121072332.738,7202205566399.674,4.743649215412453e-06,1.143402937055372e-06,1.8467205626990283e-07,-0.039907683599505674,-0.2127055813620483,3.474252670062608
4.465442117193772e+20,2.356650959278732e+19,268542.94293673214,85394.76838818647,20189.228893720163,5123415273969.523,7963862437091.483,4.617500299568157e-06,1.0346377300477787e-06,1.5710689766987786e-07,-0.045386255536335456,-0.23085569546344942,2.8822472056826474
4.439601253228213e+20,2.302321370000615e+19,257120.453248325,84520.33683322144,17367.64007021496,5184755450273.783,9015988968506.01,4.786612873037307e-06,9.61803872976806e-07,1.3624637544382882e-07,-0.059694403563776297,-0.2764463301945476,2.1854481698912887
4.615677115771435e+20,2.273162557747072e+19,253937.80950638407,83584.43191273014,14892.691889407954,5138523392787.056,9413793604872.982,4.894060221195588e-06,9.166333617153143e-07,1.2280666666705565e-07,-0.06557499534840334,-0.30409693190457854,1.9218428693819534
4.8399186182329663e+20,2.238946272252065e+19,249544.33892771925,82594.233883526,12553.831541866855,5104175059031.632,9968185634827.195,5.022247123535542e-06,9.556672383916439e-07,1.1427582787715731e-07,-0.04953166651377457,-0.26015734472061636,2.104252504443928
4.936747633182448e+20,2.176943014553703e+19,240597.6465765756,81556.85857007383,10383.042696307148,5100105960596.246,11048288559695.21,5.245942196609412e-06,9.94962207750711e-07,1.0359305467536122e-07,-0.04199129963596278,-0.2342511610970595,2.1043844922368766
5.0725576703679155e+20,2.144343458686987e+19,235622.85112702902,80440.15717831111,8774.22528108863,5080275886521.353,11863293540592.455,5.388055491296868e-06,9.268601764193233e-07,8.899914940965585e-08,-0.04999768405349957,-0.2671532476597211,1.6937540402005915
5.241305379653696e+20,2.1180240704411152e+19,231733.31272454865,79274.45717431177,7603.872316590471,5052031840108.09,12631907541121.275,5.466476817646238e-06,8.508764093264521e-07,7.769512894179933e-08,-0.0645599526803277,-0.32689564294466816,1.3772139118785232
5.492634949016073e+20,2.0846680104854086e+19,228318.66776569159,78050.7253776189,6494.025589005498,4996236283606.188,13356100110608.191,5.46159980609473e-06,8.622328678771312e-07,7.443618259890201e-08,-0.04850229928615793,-0.28269436419301214,1.522923474795805
5.8568335736778844e+20,2.0601491758077575e+19,226423.3721373042,76762.86691360954,5330.225583747822,4927857460283.371,13934619857401.06,5.459987675219423e-06,9.232888951692263e-07,7.143354019571674e-08,-0.030068595678881465,-0.21247991715637635,1.8731639210029065
