h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
2.5582588134491263e+19,3.6079370503900703e+18,103412.68541162889,87508.49021463448,12966.791376694866,4652236241604.672,1037752819970557.0,0.00014186963878795792,4.505709555918471e-05,5.603423585877866e-06,-0.22205343684652562,0.21244231092913338,2.0329983755050307
4.4815236751448015e+19,5.34917171818843e+18,116733.54204036042,86067.69247231729,8938.170817114356,5909253332732.457,995725141193721.9,8.939651239824873e-05,2.238885907542778e-05,1.035583061144975e-07,-0.24335477704847974,0.23475763476224612,1.2637711745889761
7.886582635443644e+19,8.009452336097552e+18,134435.26268249005,84766.37162045739,8115.972794857338,7248908979884.556,831630067623231.0,5.459237084111065e-05,1.2600010252978501e-05,6.358599533952028e-07,-0.1973477692099579,0.24196843550193514,1.2966382422515
1.1822612401375132e+20,1.0611324970478053e+19,146713.7404801451,83454.83063485674,7387.406551820734,8218360969524.164,696347550101584.9,3.66049329974103e-05,8.048451348909671e-06,5.615185776871287e-07,-0.16062543444711655,0.24173880463005065,1.3199330537032257
1.5207339324670807e+20,1.250740008355403e+19,157742.02983119068,82202.34268980593,6589.23770042274,8494608587201.962,558774927259279.06,2.86843922928049e-05,5.634440660313298e-06,1.1556043966819126e-07,-0.16254871712987182,0.25912121743444194,1.070023564460497
1.6834703645655528e+20,1.3040468021496795e+19,161173.2679653469,81004.60527099432,5727.939228333693,8187533619984.833,463536495998593.5,2.5231222907048098e-05,4.231609540134679e-06,0.0,-0.19608456783486508,0.3034987168328324,0.7501569616832825
1.77112601573182e+20,1.3093712495610171e+19,162908.0906481672,79976.17599418177,5041.140396737885,7838580056635.594,408463737096375.1,2.3848483203853577e-05,3.914510968003922e-06,0.0,-0.1794885872965934,0.2892630505485056,0.6904485652595098
1.7913267995112397e+20,1.2733143873944078e+19,158527.66122785732,78871.85333895605,4250.255325035655,7593292692110.544,399915384292016.44,2.2860983108151562e-05,3.8301171284941915e-06,0.0,-0.1510655705924463,0.2552635853421449,0.6762322565480823
1.8716628915131725e+20,1.2735748250456635e+19,157781.15747287445,77812.04858371787,3695.3523942467164,7352099133114.972,367439937585885.1,2.1359702506132225e-05,3.3099306882845317e-06,0.0,-0.1593258862364846,0.26769615349353815,0.5535993041324715
1.9740010949787094e+20,1.2857766550809364e+19,158415.0216849831,76846.44506163755,3340.8596799151755,7114993534887.598,329273688524531.6,1.9835225329183232e-05,2.7655633023257984e-06,0.0,-0.18322630531318734,0.30475528445018935,0.4412870615397205
2.0754755390209707e+20,1.2845733429624168e+19,157995.68488610588,75865.20977510513,3010.8568821805775,6756463000618.425,281196189120295.53,1.80669032574923e-05,2.4342387275187237e-06,0.0,-0.17360883387300247,0.3087189783070164,0.4061374526916557
2.1307731526753033e+20,1.2658104680226478e+19,156907.53502500927,74969.46493844982,2707.8177968872556,6467562645211.642,255150833577380.53,1.718718974108169e-05,2.4126287894264202e-06,0.0,-0.1377374988564364,0.2692900010601768,0.4313227278794736
2.1716158978151055e+20,1.2400761112830276e+19,155151.8280348842,74057.54871697648,2385.0150111648927,6210545297819.781,237364670926615.75,1.6531607199193288e-05,2.4874817817527825e-06,0.0,-0.1028926001970897,0.22243579115531983,0.47717188225208895
2.2906886852782424e+20,1.2499978351122426e+19,158486.39546552472,73223.62705736732,2142.1243641408387,5946783021376.708,206247405389268.47,1.583429979998543e-05,2.427310689803008e-06,0.0,-0.08674072458527138,0.20137780466762673,0.480160518857096
2.4725337058695348e+20,1.276016841896678e+19,160480.54678129044,72417.25650338444,1930.5679506369588,5730391763687.989,175038987848252.28,1.4370442111219806e-05,2.222239591928369e-06,0.0,-0.0732077816215881,0.18844086139474828,0.48338013602276925
2.6366266681083196e+20,1.27715487838741e+19,154571.786047787,71551.80057719721,1695.513685593564,5533541510876.771,150264775100713.88,1.2046945320832112e-05,1.8582376546806618e-06,0.0,-0.06204232231845022,0.1823659536278255,0.4759493229766461
2.7961208382217896e+20,1.2783383831343755e+19,144038.36023810075,70757.71511130211,1520.1796168248193,5533078094629.185,141149844419452.34,9.735428704765644e-06,1.5042228814550892e-06,0.0,-0.05347783261492237,0.18146015892627,0.4871374731053356
2.996994872001624e+20,1.2862489684311075e+19,134044.6518920356,70029.30499696257,1377.0482504425906,5558748058513.002,129895337770078.78,7.698705724208308e-06,1.1919837925381876e-06,0.0,-0.04610205272164588,0.18223116567861158,0.5045982048407923
3.1474523056007165e+20,1.2718871875224355e+19,121900.99080657586,69322.93712049969,1255.3129827636023,5616219953239.755,122550896298935.42,6.0098085724256e-06,9.3662269240777e-07,0.0,-0.04037142576410684,0.1852131927766642,0.527516523062801
3.294900099558529e+20,1.2636215281080467e+19,113157.99861746197,68600.03675459305,1154.1075142312625,5702374113057.448,119072750607775.95,4.946748932202486e-06,7.670143714313254e-07,2.936907222945697e-08,-0.03742837418137007,0.19079404885847293,0.53411475073563
3.4081986733906887e+20,1.253044883091822e+19,106643.24154019252,67935.63736404578,1078.7336299154026,5775962601784.701,117761871961287.7,4.2742283152581816e-06,6.587618302962785e-07,3.3730030683507435e-08,-0.03573352264029447,0.19659544698006143,0.5369661792187692
3.715890933365026e+20,1.2911680831559514e+19,106638.32828836745,67254.8540824165,1025.334839833704,5767203444959.459,104553378102918.3,3.774262704010664e-06,5.71057960128987e-07,3.259715065966386e-08,-0.034149224331049534,0.2026968320987775,0.5329694054790953
4.024341144092997e+20,1.3218789420444107e+19,108125.02724127095,66594.13539089856,968.4507353493166,5665957223871.267,90070702079896.22,3.437794073751521e-06,5.138958618510786e-07,3.231970349331009e-08,-0.031764987500224176,0.2026683309472625,0.5304937947873374
4.534043930233944e+20,1.3928487343436108e+19,115320.7947171737,65952.51466750201,927.2735479351327,5482664779214.382,71304636330150.11,3.227751780733067e-06,4.762482068304528e-07,3.335190676723002e-08,-0.02846948871560127,0.1983230364522732,0.5372037183594108
