r,v disp,r_bacchini,v disp_bacchini
0.950570342,13.40308786,0.210922787,2.409638554
1.330798479,12.91928668,0.606403013,1.18875502
1.673003802,12.9923402,1.001883239,4.016064257
2.091254753,12.00011048,1.397363465,8.257028112
2.433460076,11.63732864,1.792843691,10.02409639
2.851711027,11.8315396,2.214689266,10.95582329
3.19391635,12.26778924,2.610169492,11.40562249
3.574144487,12.12297112,3.005649718,11.18072289
3.954372624,12.31713604,3.427495292,12.46586345
4.33460076,12.34180944,3.822975518,13.65461847
4.714828897,12.17277824,4.218455744,13.52610442
5.095057034,11.83425552,4.61393597,12.94779116
5.475285171,11.59258509,5.009416196,12.97991968
5.855513308,11.22984929,5.43126177,12.91566265
6.235741445,11.13345731,5.826741996,12.43373494
6.615969582,11.01285226,6.222222222,12.49799197
6.996197719,10.84382106,6.617702448,12.40160643
7.376425856,10.69900294,7.013182674,11.50200803
7.756653992,11.11108554,7.435028249,10.95582329
8.136882129,10.48200591,7.830508475,10.79518072
8.517110266,9.949778584,8.225988701,9.542168675
8.897338403,9.950238908,8.621468927,8.064257028
9.239543726,9.587457075,9.016949153,7.261044177
9.619771863,8.885738223,9.412429379,6.779116466
10,8.668280872,9.834274953,6.682730924
10.38022814,8.547675821,10.22975518,6.97188755
10.76045627,8.451283845,10.6252354,6.393574297
11.14068441,8.572809545,11.02071563,5.879518072
11.52091255,8.500630645,11.44256121,6.008032129
11.90114068,8.258960219,11.83804143,6.265060241
12.28136882,8.162568243,12.23352166,6.104417671
12.66159696,7.945110892,12.62900188,6.714859438
13.0418251,7.751866616,13.02448211,6.939759036
13.42205323,7.824966166,13.44632768,6.746987952
13.80228137,8.067557241,13.84180791,5.429718876
14.18250951,7.971165266,14.23728814,5.269076305
14.56273764,7.77792099,,
14.94296578,7.512037489,,
15.32319392,7.609350114,,
15.66539924,7.367633655,,
16.04562738,7.27124168,,
16.42585551,7.295915079,,
16.80608365,7.369014629,,
17.18631179,7.296835729,,
17.56653992,7.079378378,,
17.94676806,6.982986402,,
18.28897338,6.959187619,,
18.70722433,6.935480901,,
19.08745247,6.863302001,,
19.46768061,7.057466926,,
19.84790875,6.573665749,,
20.22813688,6.380421473,,
20.60836502,6.380881798,,
20.98859316,6.453981348,,
21.36882129,6.502867822,,
21.74904943,6.091705871,,
22.09125475,6.188972463,,
