r,v disp
0.210922787,2.409638554
0.606403013,1.18875502
1.001883239,4.016064257
1.397363465,8.257028112
1.792843691,10.02409639
2.214689266,10.95582329
2.610169492,11.40562249
3.005649718,11.18072289
3.427495292,12.46586345
3.822975518,13.65461847
4.218455744,13.52610442
4.61393597,12.94779116
5.009416196,12.97991968
5.43126177,12.91566265
5.826741996,12.43373494
6.222222222,12.49799197
6.617702448,12.40160643
7.013182674,11.50200803
7.435028249,10.95582329
7.830508475,10.79518072
8.225988701,9.542168675
8.621468927,8.064257028
9.016949153,7.261044177
9.412429379,6.779116466
9.834274953,6.682730924
10.22975518,6.97188755
10.6252354,6.393574297
11.02071563,5.879518072
11.44256121,6.008032129
11.83804143,6.265060241
12.23352166,6.104417671
12.62900188,6.714859438
13.02448211,6.939759036
13.44632768,6.746987952
13.84180791,5.429718876
14.23728814,5.269076305
