h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
3.162428695067025e+20,1.9946980254854083e+19,403629.7213698751,68917.67893403802,55879.90042028863,2368174051157.7725,1114399948813.5618,5.538653396280896e-06,2.2224214516967296e-06,2.4275206581435507e-06,-0.013733786711726344,0.16523833539601807,15.00901733493925
3.4921601605209063e+20,2.0567749610735583e+19,390371.6183597991,68733.68616640917,42128.968283117145,2541227149209.8335,1316550231269.2322,5.328498404855209e-06,1.8734307284702301e-06,1.7771959205944572e-06,-0.015369872945898096,0.16937227642011524,11.005173221470951
3.983379039513402e+20,2.161899777691218e+19,388855.27241971786,68506.53597994224,33033.01696482778,2789247239058.5093,1605059965575.808,4.997246393503204e-06,1.6083747098968285e-06,1.287898922627096e-06,-0.01630297124345856,0.16395714358650382,8.307262678318919
4.3799039331695736e+20,2.241712150333474e+19,385126.73611956363,68301.86392395465,26845.034638283123,3087788523554.909,2063706563014.0283,4.773562228177398e-06,1.4465608625618128e-06,9.804014897687385e-07,-0.01840677272057952,0.17165922222356716,6.087563465933133
4.240664753208803e+20,2.224660556997408e+19,351046.83765206527,68075.34571563103,22891.245636740645,3351264220406.6855,2736644325619.421,4.83858475276316e-06,1.3898797279987436e-06,8.239770830925538e-07,-0.021774077384637127,0.18287414353233525,4.775759727702911
4.386079281055485e+20,2.2691503006477533e+19,337349.0373161375,67787.59586630201,19762.155356759806,3706151338927.342,3638669084342.292,4.72757028519254e-06,1.292046123285458e-06,6.489814942396077e-07,-0.025675441383487957,0.19032281281967825,3.5625501027333284
4.8800440762770267e+20,2.3809208954185224e+19,341062.7981174203,67520.9008259745,16929.229105550774,4133598820973.2964,4698456252467.291,4.448937420606882e-06,1.1869216766088181e-06,4.999717416943801e-07,-0.028085362024876395,0.19697947308172242,2.7409430996236597
5.6868140474932455e+20,2.543798800896476e+19,357071.8112111033,67193.85122906546,14423.942084345217,4653718907378.498,6033836106405.581,4.08778899850964e-06,1.0807587439880735e-06,3.7091698489521473e-07,-0.029563690332914058,0.20054704601631343,2.0964165795708363
6.079101939805087e+20,2.6299496741926445e+19,354675.95299300307,66868.87275018824,12684.945632410843,4903983174994.028,6792525052678.354,3.92624257038876e-06,9.869551769777088e-07,3.074658941335584e-07,-0.03202562586869718,0.21109371034834498,1.773188960374777
6.694286626005539e+20,2.745355521513639e+19,362104.20881679404,66505.18001308749,11103.565971765425,5155856206151.779,7470397554905.999,3.724415216505963e-06,8.682273641614199e-07,2.3610556657803855e-07,-0.03565650786238637,0.21749723659240613,1.403841967161656
6.871101876242531e+20,2.713848785625847e+19,358055.8641996795,66086.7232481889,9551.791859443489,5269185895243.565,8432553495935.123,3.802195720052635e-06,7.747676281423327e-07,1.6255987798521126e-07,-0.045138064344548846,0.22237976936356862,0.9752772684460769
6.666429328322151e+20,2.611087936956549e+19,338524.6102525473,65670.68817059053,8414.017502228195,5165095776995.44,8884218131013.977,4.026990705727112e-06,7.480008011109202e-07,1.3837705841589042e-07,-0.05043117788863304,0.2314801266581249,0.8586302507389466
6.513521110239693e+20,2.5047398144953717e+19,317657.39071941783,65184.88148422398,7286.89045175686,5072671269006.584,9494008307832.158,4.283873040019506e-06,8.369635507890901e-07,1.6829736990200338e-07,-0.042745955951301734,0.2470978238429776,1.0230822936696509
6.638206451615835e+20,2.4343710322318828e+19,308812.3511349765,64668.982622839765,6075.043305425189,5085457973613.087,10532748457633.05,4.479534774315917e-06,9.159845585069699e-07,1.7768614619183009e-07,-0.04085401265597439,0.2903738056038207,1.062831216234559
6.546614727650459e+20,2.3613022473846055e+19,294704.6811000769,64122.72338129044,5228.170104522711,5041052618292.226,11374503515144.803,4.699467876311574e-06,8.672527322972513e-07,1.3723326184169231e-07,-0.0500706460271958,0.3202245382985352,0.8670068809759983
