radius,Btot,Breg,Bord,,radius,log btot,log breg,log bord,,,
0.421090909,48.13021348,37.366294,40.55172311,,0.421090909,1.682417788,1.572480027,1.608009313,,scale lengths,
0.589527273,32.96774508,24.26373881,26.46719292,,0.589527273,1.518089243,1.384957722,1.422707883,,r_tot,-37.76473756
0.786036364,24.81970544,17.02000216,18.80935966,,0.786036364,1.394796623,1.230959611,1.274374011,,r_reg ,8.367909093
0.982545455,20.31307417,12.23609823,13.81983003,,0.982545455,1.307775654,1.087642955,1.140502702,,r_ord,6.321608179
1.207127273,17.98658706,9.092341605,10.61505389,,1.207127273,1.254948764,0.958675744,1.025922203,,,
1.459781818,16.70077815,7.089099779,8.62365535,,1.459781818,1.222736707,0.850591089,0.935691391,,,
1.726472727,16.32151399,5.692712089,7.337555836,,1.726472727,1.212760442,0.75531922,0.865551419,,,
2.035272727,16.1414378,4.63493373,6.412535892,,2.035272727,1.207942217,0.666043529,0.807029809,,,
2.358109091,16.15446452,3.778998306,5.685219665,,2.358109091,1.208292567,0.577376697,0.75474725,,,
2.723054545,16.09160786,3.146666611,5.169086866,,2.723054545,1.206599441,0.497850732,0.71341383,,,
3.130109091,16.04027944,2.649032069,4.79326969,,3.130109091,1.20521193,0.423087216,0.680631865,,,
3.565236364,15.4675875,2.193316878,4.266570973,,3.565236364,1.189422581,0.341101381,0.630078974,,,
4.056509091,14.95492886,1.746881619,3.715744943,,4.056509091,1.174784352,0.242263475,0.570045895,,,
4.589890909,15.37315687,1.272740961,3.22438618,,4.589890909,1.186763059,0.104740021,0.508447051,,,
5.179418182,15.66514851,1.018432869,2.953218977,,5.179418182,1.194934516,0.007932407,0.47029565,,,
5.825090909,16.12112372,1.110784433,3.183566755,,5.825090909,1.207395311,0.045629785,0.502913961,,,
6.526909091,16.85950563,1.08119112,3.341913638,,6.526909091,1.226844836,0.03390247,0.523995223,,,
7.312945455,17.25189284,0.769378814,2.98788194,,7.312945455,1.236836752,-0.113859777,0.475363433,,,
8.169163636,17.4488432,0.426944149,2.577788398,,8.169163636,1.24176664,-0.369628934,0.411247265,,,
9.1096,17.47433413,0.567288557,2.722267386,,9.1096,1.242400636,-0.246195977,0.43493078,,,
10.14829091,17.5479726,0.771122597,3.08311286,,10.14829091,1.244226948,-0.11287657,0.488989423,,,
11.29927273,17.24183525,0.78166293,3.125187077,,11.29927273,1.236583491,-0.106980484,0.49487602,,,
12.54850909,16.4012864,0.670912449,2.911513935,,12.54850909,1.214877912,-0.17333415,0.464118873,,,
13.93810909,14.53724576,0.535917359,2.505875676,,13.93810909,1.162482133,-0.270902176,0.39895952,,,
15.44,12.78653579,0.415958107,2.117783422,,15.44,1.106752899,-0.380950407,0.325881544,,,
17.12436364,11.72713199,0.302874158,1.806366916,,17.12436364,1.069191813,-0.51873778,0.25680597,,,
18.94909091,11.24596503,0.279374269,1.692517717,,18.94909091,1.050996729,-0.553813596,0.228533223,,,
